                    CRIM    ZN INDUS CHAS NOX    RM   AGE    DIS RAD TAX PTRATIO  B  LSTAT MEDV  
466__Boston      3.16360   0.0 18.10 0 0.6550 5.759  48.2  3.0665 24 666 20.2 334.40 14.13 19.9
467__Boston      3.77498   0.0 18.10 0 0.6550 5.952  84.7  2.8715 24 666 20.2  22.01 17.15 19.0
468__Boston      4.42228   0.0 18.10 0 0.5840 6.003  94.5  2.5403 24 666 20.2 331.29 21.32 19.1
469__Boston     15.57570   0.0 18.10 0 0.5800 5.926  71.0  2.9084 24 666 20.2 368.74 18.13 19.1
470__Boston     13.07510   0.0 18.10 0 0.5800 5.713  56.7  2.8237 24 666 20.2 396.90 14.76 20.1
471__Boston      4.34879   0.0 18.10 0 0.5800 6.167  84.0  3.0334 24 666 20.2 396.90 16.29 19.9
472__Boston      4.03841   0.0 18.10 0 0.5320 6.229  90.7  3.0993 24 666 20.2 395.33 12.87 19.6
473__Boston      3.56868   0.0 18.10 0 0.5800 6.437  75.0  2.8965 24 666 20.2 393.37 14.36 23.2
474__Boston      4.64689   0.0 18.10 0 0.6140 6.980  67.6  2.5329 24 666 20.2 374.68 11.66 29.8
475__Boston      8.05579   0.0 18.10 0 0.5840 5.427  95.4  2.4298 24 666 20.2 352.58 18.14 13.8
476__Boston      6.39312   0.0 18.10 0 0.5840 6.162  97.4  2.2060 24 666 20.2 302.76 24.10 13.3
477__Boston      4.87141   0.0 18.10 0 0.6140 6.484  93.6  2.3053 24 666 20.2 396.21 18.68 16.7
478__Boston     15.02340   0.0 18.10 0 0.6140 5.304  97.3  2.1007 24 666 20.2 349.48 24.91 12.0
479__Boston     10.23300   0.0 18.10 0 0.6140 6.185  96.7  2.1705 24 666 20.2 379.70 18.03 14.6
480__Boston     14.33370   0.0 18.10 0 0.6140 6.229  88.0  1.9512 24 666 20.2 383.32 13.11 21.4
481__Boston      5.82401   0.0 18.10 0 0.5320 6.242  64.7  3.4242 24 666 20.2 396.90 10.74 23.0
482__Boston      5.70818   0.0 18.10 0 0.5320 6.750  74.9  3.3317 24 666 20.2 393.07  7.74 23.7
483__Boston      5.73116   0.0 18.10 0 0.5320 7.061  77.0  3.4106 24 666 20.2 395.28  7.01 25.0
484__Boston      2.81838   0.0 18.10 0 0.5320 5.762  40.3  4.0983 24 666 20.2 392.92 10.42 21.8
485__Boston      2.37857   0.0 18.10 0 0.5830 5.871  41.9  3.7240 24 666 20.2 370.73 13.34 20.6
486__Boston      3.67367   0.0 18.10 0 0.5830 6.312  51.9  3.9917 24 666 20.2 388.62 10.58 21.2
487__Boston      5.69175   0.0 18.10 0 0.5830 6.114  79.8  3.5459 24 666 20.2 392.68 14.98 19.1
488__Boston      4.83567   0.0 18.10 0 0.5830 5.905  53.2  3.1523 24 666 20.2 388.22 11.45 20.6
489__Chelsea     0.15086   0.0 27.74 0 0.6090 5.454  92.7  1.8209  4 711 20.1 395.09 18.06 15.2
490__Chelsea     0.18337   0.0 27.74 0 0.6090 5.414  98.3  1.7554  4 711 20.1 344.05 23.97  7.0
491__Chelsea     0.20746   0.0 27.74 0 0.6090 5.093  98.0  1.8226  4 711 20.1 318.43 29.68  8.1
492__Chelsea     0.10574   0.0 27.74 0 0.6090 5.983  98.8  1.8681  4 711 20.1 390.11 18.07 13.6
493__Chelsea     0.11132   0.0 27.74 0 0.6090 5.983  83.5  2.1099  4 711 20.1 396.90 13.35 20.1
494__Revere      0.17331   0.0  9.69 0 0.5850 5.707  54.0  2.3817  6 391 19.2 396.90 12.01 21.8
495__Revere      0.27957   0.0  9.69 0 0.5850 5.926  42.6  2.3817  6 391 19.2 396.90 13.59 24.5
496__Revere      0.17899   0.0  9.69 0 0.5850 5.670  28.8  2.7986  6 391 19.2 393.29 17.60 23.1
497__Revere      0.28960   0.0  9.69 0 0.5850 5.390  72.9  2.7986  6 391 19.2 396.90 21.14 19.7
498__Revere      0.26838   0.0  9.69 0 0.5850 5.794  70.6  2.8927  6 391 19.2 396.90 14.10 18.3
499__Revere      0.23912   0.0  9.69 0 0.5850 6.019  65.3  2.4091  6 391 19.2 396.90 12.92 21.2
500__Revere      0.17783   0.0  9.69 0 0.5850 5.569  73.5  2.3999  6 391 19.2 395.77 15.10 17.5
501__Revere      0.22438   0.0  9.69 0 0.5850 6.027  79.7  2.4982  6 391 19.2 396.90 14.33 16.8
502__Winthrop    0.06263   0.0 11.93 0 0.5730 6.593  69.1  2.4786  1 273 21.0 391.99  9.67 22.4
503__Winthrop    0.04527   0.0 11.93 0 0.5730 6.120  76.7  2.2875  1 273 21.0 396.90  9.08 20.6
504__Winthrop    0.06076   0.0 11.93 0 0.5730 6.976  91.0  2.1675  1 273 21.0 396.90  5.64 23.9
505__Winthrop    0.10959   0.0 11.93 0 0.5730 6.794  89.3  2.3889  1 273 21.0 393.45  6.48 22.0
506__Winthrop    0.04741   0.0 11.93 0 0.5730 6.030  80.8  2.5050  1 273 21.0 396.90  7.88 11.9
